"Relative Time","Hits"
"00:00","0.75"
"00:08","0.75"
"00:16","2.25"
"00:24","1.5"
"00:32","3"
"00:40","3.75"
"00:48","3"
"00:56","2.25"
"01:04","3.75"
"01:12","3"
"01:20","2.25"
"01:28","3.75"
"01:36","3"
"01:44","3.75"
"01:52","2.25"
"02:00","3"
"02:08","3.75"
"02:16","3"
"02:24","3"
"02:32","2.25"
"02:40","3.75"
"02:48","3"
"02:56","3.75"
"03:04","2.25"
"03:12","3"
"03:20","3.75"
"03:28","3"
"03:36","2.25"
"03:44","3.75"
"03:52","3"
"04:00","3"
"04:08","3"
"04:16","3"
"04:24","3.75"
"04:32","2.25"
"04:40","3"
"04:48","3.75"
"04:56","3"
"05:04","3.75"
"05:12","1.5"
"05:20","3.75"
"05:28","3"
"05:36","1.5"
"05:44","2.25"
"05:52","2.25"
"06:00","2.25"
"06:08","0.75"
"06:16","0.75"
"06:24","1.5"
"06:32","0"
