"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","0.788","","0"
"00:08","0.808","","0"
"00:16","0.978","",""
"00:24","0.798","","0"
"00:32","0.833","",""
"00:40","0.736","",""
"00:48","0.801","",""
"00:56","0.857","",""
"01:04","0.901","",""
"01:12","0.834","",""
"01:20","0.885","",""
"01:28","0.775","",""
"01:36","0.731","",""
"01:44","0.761","",""
"01:52","0.8","",""
"02:00","1.041","",""
"02:08","0.751","",""
"02:16","0.872","",""
"02:24","1.076","",""
"02:32","0.729","",""
"02:40","0.766","",""
"02:48","0.809","",""
"02:56","0.835","",""
"03:04","0.922","",""
"03:12","0.776","",""
"03:20","0.776","",""
"03:28","1.107","",""
"03:36","0.766","",""
"03:44","0.774","",""
"03:52","0.797","",""
"04:00","0.78","",""
"04:08","0.873","",""
"04:16","0.813","",""
"04:24","0.906","",""
"04:32","0.758","",""
"04:40","0.774","",""
"04:48","0.829","",""
"04:56","0.821","",""
"05:04","0.812","",""
"05:12","0.859","",""
"05:20","1.393","",""
"05:28","0.923","0",""
"05:36","0.751","",""
"05:44","0.876","",""
"05:52","0.825","",""
"06:00","0.769","0",""
"06:08","0.741","",""
"06:16","0.902","",""
"06:24","0.939","0",""
