"Relative Time","Hits"
"00:00","0.75"
"00:08","0"
"00:16","0.875"
"00:24","0.25"
"00:32","0"
"00:40","0.25"
"00:48","0"
"00:56","0.25"
"01:04","0.25"
"01:12","0"
"01:20","0.25"
"01:28","0"
"01:36","0.25"
"01:44","0.25"
"01:52","0"
"02:00","0.25"
"02:08","0"
"02:16","0.25"
"02:24","0.25"
"02:32","0"
"02:40","0.25"
"02:48","0"
"02:56","0.25"
"03:04","0.25"
"03:12","0"
"03:20","0.25"
"03:28","0"
"03:36","0.25"
"03:44","0.25"
"03:52","0"
"04:00","0.25"
"04:08","0"
"04:16","0.25"
"04:24","0.25"
"04:32","0"
"04:40","0.25"
"04:48","0"
"04:56","0.25"
"05:04","0.125"
"05:12","0.125"
"05:20","0.25"
"05:28","0"
"05:36","0.125"
"05:44","0.125"
"05:52","0"
