"Relative Time","Throughput"
"00:00","26927.38"
"00:08","0"
"00:16","27186.25"
"00:24","0"
"00:32","517.25"
"00:40","258.5"
"00:48","258.5"
"00:56","518"
"01:04","0"
"01:12","518.875"
"01:20","259.125"
"01:28","259.125"
"01:36","518.75"
"01:44","0"
"01:52","518.125"
"02:00","0"
"02:08","517.75"
"02:16","517.625"
"02:24","0"
"02:32","519.25"
"02:40","0"
"02:48","517.625"
"02:56","519"
"03:04","0"
"03:12","519"
"03:20","0"
"03:28","518.625"
"03:36","518.625"
"03:44","0"
"03:52","518.125"
"04:00","0"
"04:08","518.25"
"04:16","519.125"
"04:24","0"
"04:32","517.5"
"04:40","0"
"04:48","518.625"
"04:56","518.25"
"05:04","0"
"05:12","518.5"
"05:20","259"
"05:28","259"
"05:36","258.5"
"05:44","259.125"
"05:52","0"
