"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","1.069"
"00:08","","","0.365"
"00:16","0.43","",""
"00:24","0.427","",""
"00:40","0.418","",""
"00:56","0.435","",""
"01:04","0.42","",""
"01:20","0.439","",""
"01:36","0.457","",""
"01:44","0.447","",""
"02:00","0.423","",""
"02:16","0.459","",""
"02:24","0.428","",""
"02:40","0.432","",""
"02:56","0.422","",""
"03:04","0.437","",""
"03:20","0.4","",""
"03:36","0.434","",""
"03:44","0.428","",""
"04:00","0.437","",""
"04:16","0.42","",""
"04:24","0.437","",""
"04:40","0.43","",""
"04:56","0.461","",""
"05:04","0.416","",""
"05:12","0.439","",""
"05:20","0.433","0",""
"05:36","0.458","",""
"05:44","0.437","0",""
